fk_Municipio_CodigoDoIBGE	fk_Abastecimento_CodigoFormaDeAbastecimento
260110	C260110000002
260110	C260110000003
260120	C260120000005
260120	C260120000109
260120	C260120000122
260160	C260160000029
260160	C260160000031
260200	C260200000004
260200	C260200000005
260250	C260250000109
260280	C260280000023
260300	C260300000001
260510	C260510000182
260510	C260510000238
260540	C260540000004
260660	C260660000001
260770	C260770000157
260770	C260770000158
260790	C260790000004
260790	C260790000005
260790	C260790000006
260990	C260990000003
260990	C260990000004
261040	C261040000003
261040	C261040000004
261080	C261080000092
261080	C261080000097
261110	C261110000047
261110	C261110000062
261220	C261220000060
261245	C261245000001
261245	C261245000022
261255	C261255000001
261255	C261255000003
261255	C261255000004
261280	C261280000047
261360	C261360000014
261360	C261360000030
261360	C261360000041
261360	C261360000050
261380	C261380000014
261380	C261380000036
261390	C261390000001
261390	C261390000010
261400	C261400000035
261410	C261410000018
261410	C261410000030
261520	C261520000077
261530	C261530000036
261570	C261570000036
261600	C261600000011
261600	C261600000013
261600	C261600000017
290490	C290490000001
291460	C291460000029
310790	C310790000001
310910	C310910000004
310910	C310910000005
310910	C310910000006
312510	C312510000001
312510	C312510000003
312510	C312510000007
312510	C312510000017
312510	C312510000021
312510	C312510000023
313670	C313670000001
314000	C314000000015
314000	C314000000027
314070	C314070000005
314500	C314500000001
314740	C314740000034
316310	C316310000004
352400	C352400000021
410740	C410740000007
411007	C411007000003
411007	C411007000004
411007	C411007000010
411007	C411007000011
430515	C430515000001
430515	C430515000002
430515	C430515000003
430515	C430515000004
430515	C430515000005
430515	C430515000006
430515	C430515000007
430515	C430515000008
430515	C430515000009
430515	C430515000010
110002	I110002000045
110002	I110002000054
230130	I230130000027
291460	I291460000001
312700	I312700000002
314070	I314070000012
320320	I320320000088
320320	I320320000099
320320	I320320000100
320320	I320320000101
320320	I320320000102
320320	I320320000103
320320	I320320000104
320320	I320320000105
320320	I320320000106
320320	I320320000107
320320	I320320000108
320320	I320320000109
320320	I320320000110
320320	I320320000111
320320	I320320000113
320320	I320320000114
320320	I320320000115
320320	I320320000116
320320	I320320000117
320320	I320320000118
320320	I320320000120
320320	I320320000121
320320	I320320000122
320320	I320320000123
320320	I320320000124
320320	I320320000125
320320	I320320000126
320320	I320320000127
320320	I320320000128
320320	I320320000129
320320	I320320000130
320320	I320320000132
320320	I320320000133
320320	I320320000134
320320	I320320000135
320320	I320320000136
320320	I320320000137
320320	I320320000138
320320	I320320000139
320320	I320320000140
320320	I320320000141
320320	I320320000142
320320	I320320000143
320320	I320320000144
320320	I320320000145
320320	I320320000146
320320	I320320000148
320320	I320320000149
320320	I320320000150
320320	I320320000151
320320	I320320000152
320320	I320320000153
320320	I320320000154
320320	I320320000155
320320	I320320000156
320320	I320320000157
320320	I320320000158
320320	I320320000159
320320	I320320000161
320320	I320320000162
320320	I320320000163
320320	I320320000164
320320	I320320000165
320320	I320320000166
320320	I320320000167
320320	I320320000168
320320	I320320000169
320320	I320320000170
320320	I320320000171
320320	I320320000172
320320	I320320000173
320320	I320320000174
320320	I320320000175
320320	I320320000176
320320	I320320000177
320320	I320320000178
320320	I320320000179
320320	I320320000180
320320	I320320000181
320320	I320320000182
320320	I320320000183
320320	I320320000184
320320	I320320000185
320320	I320320000186
320320	I320320000187
320320	I320320000188
320320	I320320000189
320320	I320320000190
320320	I320320000191
320320	I320320000193
320320	I320320000194
320320	I320320000195
320320	I320320000197
320320	I320320000198
320320	I320320000199
320320	I320320000200
320320	I320320000201
320320	I320320000202
320320	I320320000203
320320	I320320000204
320320	I320320000205
320320	I320320000206
320320	I320320000207
320320	I320320000208
320320	I320320000213
320320	I320320000219
320320	I320320000220
320320	I320320000221
320320	I320320000222
320320	I320320000223
320320	I320320000224
320320	I320320000225
320320	I320320000226
320320	I320320000227
320320	I320320000228
320320	I320320000229
320320	I320320000231
320320	I320320000233
320320	I320320000234
320320	I320320000235
320320	I320320000236
320320	I320320000238
320320	I320320000239
320320	I320320000241
320320	I320320000242
320320	I320320000243
320320	I320320000256
410470	I410470000019
411007	I411007000003
411007	I411007000005
411007	I411007000007
411007	I411007000018
510785	I510785000002
110032	S110032000002
221010	S221010000001
260010	S260010000001
260040	S260040000002
260110	S260110000001
260120	S260120000001
260160	S260160000002
260160	S260160000005
260160	S260160000006
260190	S260190000001
260210	S260210000001
260210	S260210000002
260220	S260220000001
260270	S260270000001
260280	S260280000001
260290	S260290000001
260290	S260290000003
260300	S260300000001
260400	S260400000001
260400	S260400000014
260400	S260400000035
260400	S260400000036
260410	S260410000001
260450	S260450000001
260540	S260540000001
260600	S260600000001
260620	S260620000001
260640	S260640000001
260640	S260640000002
260640	S260640000003
260640	S260640000004
260660	S260660000001
260680	S260680000001
260765	S260765000001
260765	S260765000002
260770	S260770000001
260790	S260790000003
261160	S260790000003
261370	S260790000003
260810	S260810000001
260820	S260820000001
260845	S260845000001
260850	S260850000001
260875	S260875000001
260875	S260875000002
260880	S260880000001
260890	S260890000002
260900	S260900000001
260950	S260950000001
260980	S260980000001
260990	S260990000001
261000	S261000000003
261060	S261060000001
261080	S261080000001
261110	S261110000001
261110	S261110000002
261110	S261110000003
261110	S261110000006
261110	S261110000012
260875	S261110000013
261110	S261110000013
261110	S261110000020
261110	S261110000021
261180	S261180000001
261220	S261220000001
261245	S261245000001
261260	S261260000002
261280	S261280000001
261330	S261330000001
261360	S261360000001
261370	S261370000003
261380	S261380000001
261380	S261380000004
261390	S261390000002
261410	S261410000002
261450	S261450000001
261530	S261530000001
261560	S261560000001
261570	S261570000002
261600	S261600000001
261630	S261630000006
270240	S270240000002
270240	S270240000004
270255	S270255000001
270580	S270580000001
270630	S270630000001
270760	S270760000001
270030	S270820000001
290320	S290320000001
290980	S290485000002
290650	S290650000001
290650	S290650000002
290820	S290820000001
291080	S290820000001
291072	S291072000001
291360	S291360000001
291470	S291470000001
291480	S291480000001
290760	S291535000001
291460	S291535000001
291640	S291640000001
291750	S291750000002
291800	S291800000001
291840	S291840000001
291170	S292020000001
290980	S292230000001
292530	S292530000002
292530	S292530000003
292530	S292530000005
292740	S292740000001
293070	S292740000001
292870	S292870000001
292593	S292937000003
293070	S293070000001
293135	S293135000003
293290	S293290000001
293330	S293330000001
310040	S310040000001
310110	S310110000004
310730	S310730000003
310910	S310910000001
311820	S311820000001
312510	S312510000001
312675	S312675000001
312700	S312700000001
312770	S312770000020
