Grupo	Parametro_ciano_
Cianobactérias	Anabaena sp.                                                                                                                                                                                                                                                   
Cianotoxinas	Anatoxina-a(s) (µg/L)                                                                                                                                                                                                                                          
Cianobactérias	Aphanizomenon sp.                                                                                                                                                                                                                                              
Cianobactérias	Aphanocapsa sp.                                                                                                                                                                                                                                                
Cianobactérias	Aphanothece sp.                                                                                                                                                                                                                                                
Cianobactérias	Chroococcus sp.                                                                                                                                                                                                                                                
Cianotoxinas	Cilindrospermopsina - VMP: 1,0 µg/L                                                                                                                                                                                                                            
Cianotoxinas	Cilindrospermopsinas (µg/L)                                                                                                                                                                                                                                    
Cianobactérias	Cuspidothrix sp.                                                                                                                                                                                                                                               
Cianobactérias	Cyanodictyon sp.                                                                                                                                                                                                                                               
Cianobactérias	Cylindrospermopsis sp.                                                                                                                                                                                                                                         
Cianobactérias	Dolichospermum sp.                                                                                                                                                                                                                                             
Cianobactérias	Geitlerinema sp.                                                                                                                                                                                                                                               
Cianobactérias	Jaaginema sp.                                                                                                                                                                                                                                                  
Cianobactérias	Lyngbya sp.                                                                                                                                                                                                                                                    
Cianotoxinas	Microcistina - VMP: 1,0 µg/L (equivalente de MCYST-LR)                                                                                                                                                                                                         
Cianobactérias	Microcystis sp.                                                                                                                                                                                                                                                
Cianotoxinas	Miscrocistinas (µg/L)                                                                                                                                                                                                                                          
Cianobactérias	Nostoc sp.                                                                                                                                                                                                                                                     
Cianobactérias	Oscillatoria sp.                                                                                                                                                                                                                                               
Cianotoxinas	Outra(s)                                                                                                                                                                                                                                                       
Cianobactérias	Outro(s) gênero(s)*                                                                                                                                                                                                                                            
Cianobactérias	Planktolyngbya sp.                                                                                                                                                                                                                                             
Cianobactérias	Planktothrix sp.                                                                                                                                                                                                                                               
Cianobactérias	Pseudoanabaena sp.                                                                                                                                                                                                                                             
Cianobactérias	Radiocystis sp.                                                                                                                                                                                                                                                
Cianobactérias	Raphidiopsis sp.                                                                                                                                                                                                                                               
Cianotoxinas	Saxitoxina - VMP 3,0 µg/L (equivalente STX)                                                                                                                                                                                                                    
Cianotoxinas	Saxitoxinas (µg equivalente STX/L)                                                                                                                                                                                                                             
Cianobactérias	Sphaeropermopsis sp.                                                                                                                                                                                                                                           
Cianobactérias	Synechococcus sp.                                                                                                                                                                                                                                              
Cianobactérias	Synechocystis sp.                                                                                                                                                                                                                                              
Cianobactérias	Tychonema sp.                                                                                                                                                                                                                                                  
Cianobactérias	Umezakia sp.                                                                                                                                                                                                                                                   
