NumeroDaAmostra	DataDeRegistroNoSISAGUA	DataColeta	DescricaoDoLocal	Zona	CategoriaArea	Area	TipoDoLocal	NomeLocal	Latitude	Longitude	fk_Municipio_CodigoDoIBGE	Procedencia	PontoDeColeta	Motivo	Hora
8	2015-03-01 16:35:26	2014-08-27	AV DUQUE DE CAXIAS	Urbana	Bairro	SERRA	Estabelecimento de ensino	ESCOLA MUNICIPAL DONA VINA			313970	SISTEMA DE DISTRIBUIÇÃO	Torneira antes da reservação	Rotina	09:00:00
14	2015-03-01 17:00:50	2014-09-24	AV BRASIL	Urbana	Bairro	CENTRO	Templo religioso	IGREJA SANTO ANTONIO			313970	SISTEMA DE DISTRIBUIÇÃO	Torneira antes da reservação	Rotina	10:00:00
3242	2014-11-07 14:14:56	2014-10-06							-1.823.126	-5.239.494	520547	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:45:00
30	2014-11-11 08:51:26	2014-10-21	RUA SEVERINO PERINA, 1043	Urbana	Bairro	CENTRO					353770	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:40:00
78	2014-12-30 10:43:39	2014-11-26	CORREGO DO QUILOMBO	Urbana	Sede de distrito (ou vila)	ZITO SOARES			-20.0	-42.0	315740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	08:17:00
79	2014-12-30 10:51:30	2014-11-26	CORREGO DO QUILOMOBO-ZITO SOARES	Urbana	Sede de distrito (ou vila)	ZITO SOARES			-20.0	-42.0	315740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	08:28:00
256200	2016-02-11 14:57:01	2015-01-14	RODOVIA MIGUEL MELHADO CAMPOS, KM 81 - POÇO	Urbana	Bairro	RIO DA PRATA					352400	SOLUÇÃO ALTERNATIVA		Rotina	10:20:00
04/15	2015-06-25 08:07:40	2015-01-21	RUA DAS CANELAS	Urbana	Sede de distrito (ou vila)	AZURITA					314070	SOLUÇÃO ALTERNATIVA		Rotina	10:40:00
05/15	2015-06-25 08:12:17	2015-01-21	RUA DONA AVILA Nº106	Urbana	Sede de distrito (ou vila)	SERRA AZUL					314070	SOLUÇÃO ALTERNATIVA	Cisterna	Rotina	11:20:00
06/15	2015-06-25 08:18:00	2015-01-21	RUA DR TOMAZ DE ANDRADE  SMS	Urbana	Bairro	CENTRO					314070	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	12:46:00
